               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 207,             0.01164,           0.0048508,                   0,             0.99221,              0.9985,             0.99461,             0.71039,            0.019886,           0.0042501,                   0,            0.003202,            0.003202,            0.003202
                 208,            0.012182,           0.0049455,                   0,              0.9955,             0.99676,             0.99458,             0.72582,            0.019384,           0.0042262,                   0,            0.003169,            0.003169,            0.003169
                 209,            0.011804,           0.0049681,                   0,              0.9937,              0.9985,             0.99446,             0.72459,            0.019604,            0.004225,                   0,            0.003136,            0.003136,            0.003136
                 210,            0.011701,           0.0048966,                   0,               0.994,             0.99507,             0.99411,             0.72769,            0.019462,           0.0042198,                   0,            0.003103,            0.003103,            0.003103
                 211,            0.011703,           0.0048789,                   0,             0.99251,             0.99493,             0.99407,             0.72383,            0.019572,           0.0042087,                   0,             0.00307,             0.00307,             0.00307
                 212,             0.01148,           0.0048813,                   0,             0.99401,             0.99669,              0.9943,             0.72765,            0.019605,           0.0042045,                   0,            0.003037,            0.003037,            0.003037
                 213,            0.011398,           0.0049096,                   0,             0.99345,               0.997,             0.99448,             0.72204,            0.019724,           0.0042255,                   0,            0.003004,            0.003004,            0.003004
                 214,             0.01118,           0.0048963,                   0,             0.99402,             0.99792,             0.99463,             0.72072,            0.019758,           0.0042522,                   0,            0.002971,            0.002971,            0.002971
                 215,            0.011901,           0.0050444,                   0,              0.9955,             0.99678,             0.99463,             0.72139,            0.019863,           0.0042723,                   0,            0.002938,            0.002938,            0.002938
                 216,            0.011378,           0.0049709,                   0,             0.99401,             0.99702,             0.99466,             0.72039,            0.019884,           0.0042761,                   0,            0.002905,            0.002905,            0.002905
                 217,            0.011295,            0.004919,                   0,              0.9955,             0.99648,             0.99453,             0.72366,            0.019642,           0.0042682,                   0,            0.002872,            0.002872,            0.002872
                 218,            0.011475,           0.0048169,                   0,             0.98937,               0.997,             0.99432,              0.7217,            0.019692,           0.0042928,                   0,            0.002839,            0.002839,            0.002839
                 219,            0.011124,           0.0047259,                   0,             0.99402,             0.99818,             0.99456,              0.7197,            0.019702,           0.0042956,                   0,            0.002806,            0.002806,            0.002806
                 220,            0.011574,            0.004848,                   0,             0.99401,             0.99682,              0.9946,             0.72066,            0.019518,           0.0042685,                   0,            0.002773,            0.002773,            0.002773
                 221,            0.011205,           0.0048333,                   0,             0.99402,              0.9979,             0.99464,             0.72717,            0.019128,           0.0042318,                   0,             0.00274,             0.00274,             0.00274
                 222,             0.01119,           0.0048424,                   0,             0.99581,               0.997,             0.99461,             0.72918,            0.019083,           0.0042204,                   0,            0.002707,            0.002707,            0.002707
                 223,              0.0117,           0.0048877,                   0,             0.99402,             0.99823,             0.99461,             0.73012,            0.019063,           0.0042166,                   0,            0.002674,            0.002674,            0.002674
                 224,            0.011018,           0.0048627,                   0,               0.994,             0.99574,             0.99456,             0.73232,            0.019176,           0.0041978,                   0,            0.002641,            0.002641,            0.002641
                 225,            0.011175,           0.0048677,                   0,             0.99313,               0.997,             0.99455,             0.73656,            0.019059,           0.0042143,                   0,            0.002608,            0.002608,            0.002608
                 226,            0.011273,           0.0047803,                   0,              0.9955,             0.99654,             0.99442,              0.7373,             0.01896,           0.0042078,                   0,            0.002575,            0.002575,            0.002575
                 227,            0.011032,           0.0047588,                   0,              0.9952,             0.99249,             0.99445,             0.73843,             0.01887,           0.0041946,                   0,            0.002542,            0.002542,            0.002542
                 228,            0.011328,           0.0048218,                   0,             0.99106,             0.99823,             0.99456,             0.73348,            0.018927,           0.0042044,                   0,            0.002509,            0.002509,            0.002509
                 229,            0.011525,           0.0049034,                   0,               0.994,              0.9955,             0.99463,             0.72931,            0.018987,           0.0042117,                   0,            0.002476,            0.002476,            0.002476
                 230,            0.010975,           0.0047801,                   0,             0.99433,               0.997,              0.9946,             0.73072,            0.018953,           0.0041965,                   0,            0.002443,            0.002443,            0.002443
                 231,            0.011159,           0.0048112,                   0,              0.9955,             0.99628,             0.99458,             0.73033,            0.018943,            0.004186,                   0,             0.00241,             0.00241,             0.00241
                 232,            0.010867,           0.0047573,                   0,             0.99401,             0.99626,             0.99456,               0.732,             0.01894,           0.0041866,                   0,            0.002377,            0.002377,            0.002377
                 233,            0.010865,           0.0048115,                   0,             0.99401,             0.99653,             0.99452,             0.73777,            0.018702,           0.0041769,                   0,            0.002344,            0.002344,            0.002344
                 234,            0.010715,             0.00475,                   0,              0.9939,              0.9955,             0.99447,              0.7423,            0.018571,           0.0041737,                   0,            0.002311,            0.002311,            0.002311
                 235,            0.011049,           0.0047605,                   0,             0.99401,              0.9964,             0.99447,             0.74045,            0.018735,           0.0041809,                   0,            0.002278,            0.002278,            0.002278
                 236,            0.010956,           0.0048208,                   0,             0.99214,              0.9955,             0.99435,             0.73791,            0.018737,           0.0041738,                   0,            0.002245,            0.002245,            0.002245
                 237,            0.010582,           0.0045681,                   0,             0.99215,              0.9955,             0.99435,              0.7369,            0.018766,           0.0041652,                   0,            0.002212,            0.002212,            0.002212
                 238,            0.010901,           0.0046866,                   0,               0.994,             0.99527,             0.99439,             0.73512,            0.018889,           0.0041844,                   0,            0.002179,            0.002179,            0.002179
                 239,            0.010985,           0.0047541,                   0,             0.99341,              0.9955,             0.99432,             0.73297,            0.019063,            0.004234,                   0,            0.002146,            0.002146,            0.002146
                 240,            0.010978,            0.004774,                   0,             0.99401,              0.9966,             0.99436,             0.73137,            0.019105,           0.0042522,                   0,            0.002113,            0.002113,            0.002113
                 241,            0.010661,           0.0046897,                   0,             0.99252,             0.99609,             0.99435,             0.72965,            0.019242,           0.0042719,                   0,             0.00208,             0.00208,             0.00208
                 242,            0.011269,           0.0047971,                   0,             0.99124,              0.9955,             0.99439,             0.72993,            0.019244,           0.0042636,                   0,            0.002047,            0.002047,            0.002047
                 243,            0.010828,           0.0048119,                   0,             0.99252,             0.99668,             0.99445,             0.72644,            0.019584,           0.0042874,                   0,            0.002014,            0.002014,            0.002014
                 244,            0.010997,           0.0047838,                   0,             0.99252,             0.99653,             0.99449,             0.72644,            0.019565,           0.0042917,                   0,            0.001981,            0.001981,            0.001981
                 245,            0.010816,           0.0048048,                   0,             0.99252,             0.99658,             0.99451,             0.72541,            0.019486,           0.0042973,                   0,            0.001948,            0.001948,            0.001948
                 246,            0.010704,            0.004724,                   0,              0.9921,              0.9955,              0.9945,             0.72439,            0.019479,           0.0043038,                   0,            0.001915,            0.001915,            0.001915
                 247,            0.010663,           0.0046465,                   0,             0.99235,              0.9955,             0.99452,             0.72647,            0.019414,           0.0042946,                   0,            0.001882,            0.001882,            0.001882
                 248,            0.010893,           0.0047221,                   0,             0.99094,               0.997,             0.99455,             0.72753,            0.019249,           0.0042751,                   0,            0.001849,            0.001849,            0.001849
                 249,            0.010813,            0.004726,                   0,             0.99104,               0.997,             0.99457,             0.72825,            0.019063,           0.0042594,                   0,            0.001816,            0.001816,            0.001816
                 250,            0.010489,           0.0047153,                   0,             0.99104,             0.99676,             0.99457,             0.73329,            0.018875,           0.0042574,                   0,            0.001783,            0.001783,            0.001783
                 251,             0.01054,            0.004513,                   0,             0.99252,             0.99643,             0.99455,              0.7365,             0.01877,           0.0042394,                   0,             0.00175,             0.00175,             0.00175
                 252,             0.01067,           0.0045928,                   0,             0.99104,              0.9955,             0.99452,             0.73691,            0.018677,           0.0042328,                   0,            0.001717,            0.001717,            0.001717
                 253,            0.010957,           0.0046928,                   0,             0.99295,               0.997,             0.99454,             0.73747,            0.018746,           0.0042379,                   0,            0.001684,            0.001684,            0.001684
                 254,            0.010691,           0.0048711,                   0,               0.994,             0.99549,             0.99449,             0.73539,            0.018698,           0.0042372,                   0,            0.001651,            0.001651,            0.001651
                 255,           0.0099956,           0.0046522,                   0,             0.99252,             0.99561,             0.99448,             0.73326,            0.018767,            0.004246,                   0,            0.001618,            0.001618,            0.001618
                 256,            0.010488,           0.0045522,                   0,             0.99294,              0.9955,             0.99449,             0.73334,            0.018762,           0.0042438,                   0,            0.001585,            0.001585,            0.001585
                 257,            0.010342,           0.0045463,                   0,               0.994,             0.99494,             0.99454,             0.73003,            0.018951,           0.0042684,                   0,            0.001552,            0.001552,            0.001552
                 258,            0.010486,           0.0046341,                   0,             0.99085,               0.997,             0.99452,             0.72475,            0.019039,           0.0042921,                   0,            0.001519,            0.001519,            0.001519
                 259,            0.010374,           0.0046041,                   0,             0.99252,             0.99664,             0.99449,              0.7239,            0.019221,           0.0043056,                   0,            0.001486,            0.001486,            0.001486
                 260,              0.0103,           0.0043543,                   0,             0.99252,             0.99653,             0.99451,             0.71826,            0.019416,           0.0043386,                   0,            0.001453,            0.001453,            0.001453
                 261,            0.010555,           0.0045022,                   0,               0.992,              0.9955,             0.99454,             0.71917,            0.019439,           0.0043393,                   0,             0.00142,             0.00142,             0.00142
                 262,            0.010241,           0.0046897,                   0,               0.992,              0.9955,             0.99453,             0.71923,            0.019425,           0.0043359,                   0,            0.001387,            0.001387,            0.001387
                 263,            0.010364,           0.0046306,                   0,             0.99252,             0.99649,              0.9945,             0.72022,            0.019383,            0.004326,                   0,            0.001354,            0.001354,            0.001354
                 264,            0.010242,           0.0046082,                   0,             0.99242,               0.997,             0.99445,             0.71881,            0.019407,           0.0043217,                   0,            0.001321,            0.001321,            0.001321
                 265,            0.010126,           0.0045823,                   0,             0.99229,               0.997,             0.99444,             0.71947,            0.019521,           0.0043333,                   0,            0.001288,            0.001288,            0.001288
                 266,            0.010345,            0.004574,                   0,             0.99225,               0.997,             0.99445,             0.71599,            0.019575,           0.0043466,                   0,            0.001255,            0.001255,            0.001255
                 267,            0.010131,           0.0044906,                   0,             0.99223,               0.997,             0.99445,             0.71688,            0.019581,           0.0043438,                   0,            0.001222,            0.001222,            0.001222
                 268,            0.010104,           0.0044944,                   0,             0.99226,               0.997,             0.99442,             0.71602,            0.019569,           0.0043386,                   0,            0.001189,            0.001189,            0.001189
                 269,            0.010687,           0.0047445,                   0,             0.99218,               0.997,             0.99444,             0.71817,            0.019505,            0.004318,                   0,            0.001156,            0.001156,            0.001156
                 270,            0.010772,           0.0046393,                   0,             0.99218,               0.997,             0.99444,             0.72009,            0.019455,           0.0042975,                   0,            0.001123,            0.001123,            0.001123
                 271,            0.010321,           0.0045935,                   0,             0.99214,               0.997,             0.99441,             0.72307,            0.019439,           0.0042957,                   0,             0.00109,             0.00109,             0.00109
                 272,            0.010833,           0.0046065,                   0,             0.99218,               0.997,             0.99444,             0.72432,            0.019377,           0.0042851,                   0,            0.001057,            0.001057,            0.001057
                 273,            0.010258,           0.0045051,                   0,             0.99209,               0.997,             0.99443,             0.72712,            0.019309,           0.0042786,                   0,            0.001024,            0.001024,            0.001024
                 274,            0.010467,           0.0046107,                   0,             0.99214,               0.997,             0.99444,             0.72636,            0.019298,           0.0042783,                   0,            0.000991,            0.000991,            0.000991
                 275,             0.01045,           0.0045991,                   0,             0.99214,               0.997,             0.99444,              0.7241,            0.019351,           0.0042848,                   0,            0.000958,            0.000958,            0.000958
                 276,            0.010318,           0.0045535,                   0,             0.99191,               0.997,             0.99444,             0.72352,            0.019414,           0.0042939,                   0,            0.000925,            0.000925,            0.000925
                 277,            0.010802,           0.0047189,                   0,             0.99157,               0.997,             0.99446,             0.72398,            0.019415,           0.0042946,                   0,            0.000892,            0.000892,            0.000892
                 278,            0.010521,           0.0046865,                   0,             0.99119,               0.997,             0.99446,             0.72362,            0.019426,           0.0042878,                   0,            0.000859,            0.000859,            0.000859
                 279,            0.010492,           0.0046641,                   0,             0.99114,               0.997,             0.99446,             0.72587,            0.019424,           0.0042831,                   0,            0.000826,            0.000826,            0.000826
                 280,            0.010477,           0.0047928,                   0,             0.99099,               0.997,             0.99442,             0.72448,            0.019482,           0.0042892,                   0,            0.000793,            0.000793,            0.000793
                 281,            0.010242,            0.004635,                   0,             0.99092,               0.997,             0.99431,              0.7255,            0.019506,           0.0042922,                   0,             0.00076,             0.00076,             0.00076
                 282,            0.010082,           0.0044836,                   0,             0.99081,               0.997,             0.99425,             0.72452,            0.019461,           0.0042894,                   0,            0.000727,            0.000727,            0.000727
                 283,            0.010604,           0.0047587,                   0,             0.99076,               0.997,              0.9942,             0.72493,            0.019448,           0.0042872,                   0,            0.000694,            0.000694,            0.000694
                 284,            0.010555,           0.0046361,                   0,             0.99074,               0.997,             0.99416,             0.72668,            0.019364,           0.0042716,                   0,            0.000661,            0.000661,            0.000661
                 285,            0.010639,           0.0046782,                   0,             0.99083,               0.997,             0.99416,             0.72776,            0.019297,           0.0042652,                   0,            0.000628,            0.000628,            0.000628
                 286,            0.010499,           0.0046172,                   0,             0.99076,               0.997,             0.99415,             0.72868,            0.019276,           0.0042644,                   0,            0.000595,            0.000595,            0.000595
                 287,            0.010478,           0.0046178,                   0,              0.9908,               0.997,             0.99411,             0.72935,             0.01926,           0.0042691,                   0,            0.000562,            0.000562,            0.000562
                 288,            0.010504,           0.0045938,                   0,             0.99079,               0.997,             0.99411,              0.7286,            0.019232,           0.0042672,                   0,            0.000529,            0.000529,            0.000529
                 289,            0.010361,           0.0045569,                   0,             0.99075,               0.997,             0.99409,             0.72853,            0.019197,             0.00426,                   0,            0.000496,            0.000496,            0.000496
                 290,            0.010461,           0.0047653,                   0,             0.99072,               0.997,              0.9941,             0.72797,            0.019183,           0.0042557,                   0,            0.000463,            0.000463,            0.000463
                 291,            0.010785,             0.00455,                   0,             0.99079,               0.997,             0.99409,             0.72825,            0.019189,            0.004254,                   0,             0.00043,             0.00043,             0.00043
                 292,             0.01046,           0.0046797,                   0,             0.99087,               0.997,             0.99409,             0.72881,            0.019213,           0.0042562,                   0,            0.000397,            0.000397,            0.000397
                 293,            0.010444,           0.0045865,                   0,             0.99101,               0.997,             0.99409,             0.72917,            0.019192,           0.0042519,                   0,            0.000364,            0.000364,            0.000364
                 294,            0.010201,           0.0046086,                   0,             0.99104,             0.99682,             0.99415,             0.72991,            0.019181,           0.0042506,                   0,            0.000331,            0.000331,            0.000331
                 295,           0.0099399,           0.0045264,                   0,             0.99104,             0.99666,             0.99414,             0.73063,            0.019152,           0.0042481,                   0,            0.000298,            0.000298,            0.000298
                 296,            0.010187,           0.0045856,                   0,             0.99104,             0.99657,             0.99421,             0.73107,            0.019141,           0.0042481,                   0,            0.000265,            0.000265,            0.000265
                 297,            0.010164,           0.0045924,                   0,              0.9907,              0.9955,             0.99422,             0.73136,            0.019138,           0.0042489,                   0,            0.000232,            0.000232,            0.000232
                 298,            0.010564,           0.0046058,                   0,             0.99067,              0.9955,             0.99426,              0.7308,            0.019128,           0.0042479,                   0,            0.000199,            0.000199,            0.000199
                 299,            0.010345,           0.0044355,                   0,             0.99065,              0.9955,             0.99427,             0.73063,            0.019112,           0.0042473,                   0,            0.000166,            0.000166,            0.000166
